avg,id,popularity,profit,title
4.1,73,2.899065303726222,0.1771049321703828,American History X
3.1,74,2.99219487432819,1.5002643771886832,War of the Worlds
3.05,75,2.749463380838044,0.37029197984863366,Mars Attacks!
3.85,76,2.4252432481430684,0.794874002341305,Before Sunrise
4.05,77,2.7376600700009956,1.4847082044224857,Memento
3.95,78,4.567181403296775,0.1685249749010147,Blade Runner
3.65,79,2.2886651586800593,1.7443884782010297,Hero
3.8,80,1.9528796626170821,1.7788752801767387,Before Sunset
3.85,81,2.4219105829004555,1.1943605543169984,Nausicaä of the Valley of the Wind
2.85,82,2.4617616931267845,0.19333786983012244,Miami Vice
2.65,83,2.365824458093747,6.041498516185863,Open Water
3.85,85,2.99079892457451,3.0755851452611025,Raiders of the Lost Ark
3.2,86,2.4469050665271186,0.0,The Elementary Particles
3.55,87,2.760155878750437,2.4759379798052397,Indiana Jones and the Temple of Doom
3.55,88,2.6422039452522195,3.5740028500652943,Dirty Dancing
3.8,89,2.693882782152533,2.2903687050300707,Indiana Jones and the Last Crusade
3.4,90,2.1404758442715233,3.0488321154847724,Beverly Hills Cop
3.25,91,0.9066330461962103,0.0,Land Without Bread
3.5,92,-0.9010647378762998,0.0,Megacities
3.85,93,2.248527138347501,0.0,Anatomy of a Murder
3.25,95,2.5828732980535345,1.3751604044508325,Armageddon
3.05,96,2.2192400051272227,2.707933647643453,Beverly Hills Cop II
3.3,97,2.807836469470817,0.6632942174102642,Tron
3.95,98,3.1435774151940508,1.4913547936504827,Gladiator
3.7,99,2.302676588808176,2.104715839031728,All About My Mother
3.75,100,1.527763540987605,1.0602484329989386,"Lock, Stock and Two Smoking Barrels"
4.1,101,3.0193183717440144,1.0403865554454177,Leon: The Professional
3.4,102,1.919641412891627,0.0,Open Hearts
4.05,103,2.6456578552819363,3.0791741914436517,Taxi Driver
3.6,104,2.049675264166786,1.558156313884586,Run Lola Run
4.0,105,3.249541160307083,2.9986484437093694,Back to the Future
3.65,106,2.9175379482354646,1.696996387886218,Predator
3.85,107,2.6400586138771063,2.1229543766395436,Snatch
3.85,108,2.1796846482066887,0.0,Three Colors: Blue
3.65,109,1.8855229990402183,0.0,Three Colors: White
3.9,110,2.0583142999692168,0.0,Three Colors: Red
4.0,111,2.424773787246484,0.9690304652642593,Scarface
3.25,112,1.6857520777244888,0.0,Italian for Beginners
3.8,113,2.0989851893652594,0.0,"Spring, Summer, Fall, Winter... and Spring"
3.5,114,2.5914003481517147,3.4986697244709752,Pretty Woman
3.9,115,2.7696170612256177,1.1247037706228287,The Big Lebowski
3.6,116,2.1994855749092617,1.7381989751054452,Match Point
3.8,117,2.403534162516021,1.1154098038272697,The Untouchables
3.35,118,3.0927866132449404,1.1526137456707002,Charlie and the Chocolate Factory
4.0,120,3.467943620247164,2.237465315074172,The Lord of the Rings: The Fellowship of the Ring
4.0,121,3.3817949322841105,2.461736701195857,The Lord of the Rings: The Two Towers
4.05,122,3.378418501716773,2.4767967066426277,The Lord of the Rings: The Return of the King
3.05,123,2.0687337928080463,2.0304948340081093,The Lord of the Rings
3.5,124,1.1807070432985445,0.0,No End
3.85,127,1.1657165779057563,0.0,Blind Chance
4.1,128,2.84297291705406,1.7941171154676663,Princess Mononoke
4.15,129,3.714763235030326,2.9084484776435144,Spirited Away
3.9,132,0.8484494827298527,0.0,The Rolling Stones: Gimme Shelter
3.5,133,-0.965914368285097,0.0,Primary
3.65,134,2.520448730060473,1.016739115046841,"O Brother, Where Art Thou?"
3.75,135,0.9843881625736407,0.0,Dont Look Back
3.85,136,2.205451531839859,0.0,Freaks
3.7,137,2.564151115874553,1.5803472497762021,Groundhog Day
3.6,138,2.015319733705273,1.0477528018280045,Dracula
3.4,139,0.9319065675617373,0.0,Mifune
3.55,140,2.0365523077250978,2.0860939154936693,Bad Education
3.85,141,2.9070730669112357,-1.5523316295825778,Donnie Darko
3.75,142,2.4670009621635702,2.5429720387756887,Brokeback Mountain
3.75,143,2.723599088177553,0.0,All Quiet on the Western Front
